,blk,date,pow_hashrate_THs,pow_diff
129,18720.0,2016-04-11 00:00:00+00:00,0.0,313797.01606323
130,18864.0,2016-04-12 00:00:00+00:00,0.0,338407.73431037
131,19008.0,2016-04-12 00:00:00+00:00,0.0,339428.10050576
132,19152.0,2016-04-13 00:00:00+00:00,0.0,352380.84954469
133,19296.0,2016-04-13 00:00:00+00:00,32.0,333973.39395407
134,19440.0,2016-04-14 00:00:00+00:00,0.0,357815.29893257
135,19584.0,2016-04-14 00:00:00+00:00,0.0,390602.9098934
136,19728.0,2016-04-15 00:00:00+00:00,0.0,388678.61750663
137,19872.0,2016-04-15 00:00:00+00:00,21.0,387920.41245712
138,20016.0,2016-04-16 00:00:00+00:00,0.0,414055.76224088
139,20160.0,2016-04-16 00:00:00+00:00,0.0,374561.21304576
140,20304.0,2016-04-17 00:00:00+00:00,0.0,351578.01569014
141,20448.0,2016-04-17 00:00:00+00:00,0.0,327715.94199028
142,20592.0,2016-04-18 00:00:00+00:00,29.0,328055.72902559
143,20736.0,2016-04-18 00:00:00+00:00,0.0,329197.86143445
144,20880.0,2016-04-19 00:00:00+00:00,0.0,348169.48145146
145,21024.0,2016-04-19 00:00:00+00:00,0.0,382959.14406228
146,21168.0,2016-04-20 00:00:00+00:00,20.0,397714.49664735
147,21312.0,2016-04-20 00:00:00+00:00,0.0,409798.55504241
148,21456.0,2016-04-21 00:00:00+00:00,0.0,372312.56473935
149,21600.0,2016-04-21 00:00:00+00:00,0.0,369000.35190616
150,21744.0,2016-04-22 00:00:00+00:00,30.0,393664.69012053
151,21888.0,2016-04-22 00:00:00+00:00,0.0,401996.00472233
152,22032.0,2016-04-23 00:00:00+00:00,0.0,433750.76061974
153,22176.0,2016-04-23 00:00:00+00:00,0.0,468407.92133266
154,22320.0,2016-04-24 00:00:00+00:00,23.0,483849.32459247
155,22464.0,2016-04-24 00:00:00+00:00,0.0,503619.18175585
156,22608.0,2016-04-25 00:00:00+00:00,0.0,472562.59519957
157,22752.0,2016-04-25 00:00:00+00:00,31.0,480883.04911459
158,22896.0,2016-04-26 00:00:00+00:00,0.0,482040.49885178
159,23040.0,2016-04-26 00:00:00+00:00,0.0,511522.61878476
160,23184.0,2016-04-27 00:00:00+00:00,23.0,542508.99896136
161,23328.0,2016-04-27 00:00:00+00:00,0.0,556594.37093405
162,23472.0,2016-04-28 00:00:00+00:00,0.0,509173.19544145
163,23616.0,2016-04-28 00:00:00+00:00,40.0,494807.91307541
