date,blk,pow_hashrate_THs
17-04-11 0:00,118905,0.728629503
20-04-11 0:00,119351,0.661049805
23-04-11 0:00,119846,0.78040602
26-04-11 0:00,120395,0.885990364
29-04-11 0:00,120942,0.927305976
02-05-11 0:00,121507,0.970408278
05-05-11 0:00,122119,1.242994872
08-05-11 0:00,122770,1.123056771
11-05-11 0:00,123383,1.463314603
14-05-11 0:00,124001,1.940652521
17-05-11 0:00,124725,2.034555063
20-05-11 0:00,125404,2.71821706
23-05-11 0:00,126162,3.361366632
26-05-11 0:00,127064,3.858897433
29-05-11 0:00,127566,3.739888948
01-06-11 0:00,128058,3.847978224
04-06-11 0:00,128674,4.669456721
07-06-11 0:00,129285,4.765651499
10-06-11 0:00,129915,6.373001413
13-06-11 0:00,130627,6.908784718
16-06-11 0:00,131333,8.762322509
19-06-11 0:00,131939,9.547008107
22-06-11 0:00,132686,11.77028397
25-06-11 0:00,133285,10.3525631
28-06-11 0:00,133763,10.48968314
01-07-11 0:00,134299,12.34080369
04-07-11 0:00,134803,11.24384337
07-07-11 0:00,135230,10.56700187
10-07-11 0:00,135681,11.18859021
13-07-11 0:00,136170,14.21883339
16-07-11 0:00,136633,12.35406836
19-07-11 0:00,137115,12.74256107
22-07-11 0:00,137567,12.01984874
25-07-11 0:00,138044,13.19661715
28-07-11 0:00,138549,14.03716601
31-07-11 0:00,139040,14.1212209
03-08-11 0:00,139516,14.92884333
06-08-11 0:00,139907,11.64261995
09-08-11 0:00,140315,12.48764882
12-08-11 0:00,140735,12.86321721
15-08-11 0:00,141126,13.42656978
18-08-11 0:00,141553,14.18237632
21-08-11 0:00,141996,13.01547194
24-08-11 0:00,142454,11.75880568
27-08-11 0:00,142858,11.75880568
30-08-11 0:00,143258,13.91309069
02-09-11 0:00,143698,14.31653111
05-09-11 0:00,144133,13.60954192
08-09-11 0:00,144549,11.04670611
11-09-11 0:00,144961,12.19556354
14-09-11 0:00,145382,13.26392523
17-09-11 0:00,145791,10.73330792
20-09-11 0:00,146216,12.12951057
23-09-11 0:00,146643,11.69319724
26-09-11 0:00,147043,11.95498524
29-09-11 0:00,147448,11.25295401
02-10-11 0:00,147834,11.00102221
05-10-11 0:00,148236,11.50488582
08-10-11 0:00,148621,10.83306767
11-10-11 0:00,148964,8.901590487
